adjectiv-issim	very very (adjective)
vell verbe-r	conditional, would (verb)
nomin-in	thing made in the (noun)
*** Deciunesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/12/)
a revidentie	see you
adver	indeed
alor	in that case/ at that time
ancian	ancient
annu	year
asil	asylum
ciel	sky
circumité	surroundings
creder	to believe
fatigat	tired
gris	grey
inteligentissim	genius/ so intelligent
laborar	to work
lunatico	lunatic
pardon	sorry
parlada	conversation
posdeman	day after tomorrow
qual	which (which is/are)
question	question
retornar	to return
revider	to see again
settcent	seven hundred
surnómine	surname
tresor	treasure
vidente	seeing
*** Deciduesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/13/)
col	neck
exear	to leave
jettar	to throw
jorne	daytime
malissim	awful/ so bad
li max	the most
prison	prison
quelc	some
rasar	to shave
rasuore	shaver
sanguar	to bleed
sangue	blood
self	oneself
tra	through
usar	to use
vader	to walk
*** Decitriesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/14/)
amate	lover
amico	friend
consonante	consonant
dangere	danger
dangerosi	dangerous
geste	gesture
mensu	month
papere	paper
parte	part
standar	to be (good/bad)
stenografie	stenography/shorthand
vocale	vowel
*** Deciquaresim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/15/)
adjective	adjective
adverbie	adverb
antiqui	old/ancient
bellitá	beauty
cap	head
clave	key
cluder	to close
Deo	God
dunc	thus/so
fortie	force
grimpar	to climb
haha	haha
líber	to be free
memorar	to remember
mur	wall
nullcos	nothing
obliviar	to forget
ocul	eye
omni	all
prisonario	prisoner
proxim die	next day
rapiditá	speed
sin	without
substantive	noun
tis	these
valley	valley
veritá	truth
verbe	verb
*** Deciquinesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/16/)
amore	love (noun)
bellissim	glorious/ so beautiful
besar	to kiss
bocca	mouth
calore	hot (noun)
capilles	hair (plural)
conosser	to know/recognise
contra	against/towards
demon	demon
dente	tooth
ella	she
ellas	they (female)
frigore	cold (noun)
ho-nocte	tonight
illos	they (male)
instante	moment/instant
la	her
las	them (female)
li mi	mine
los	them (male)
necú	nowhere
neproquo	you are welcome/ never mind
nequande	never
nequi	no one
nor	we
nos	us
rememorar	to recall
rise	laugh (noun)
sac	bag
secun	according to
sentir	to feel
signe	signal
timer	to fear
tro	too (quantity)
yun	young
*** Decisixesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/17/)
alcú	somewhere
alcun	some
alquande	sometimes
alqui	someone
alquo	something
benque	although
ca	whether
curiosi	curious
decinin	ninteen
deventie	duty
duantnin	twenty-nine
facil	easy
junio	june
movement	movement
parlament	parliament
posta	post/ post office
presc	almost
reve	dream
sentiment	feeling/sentiment
talmen	suchly/ in this way
tam...quam	as...as
til	until
timore	fear (noun)
vestiment	clothes
*** Decisettesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/18/)
aportar	to bring
cert	sure
cigane	gypsy
currer	to run
devenir	to become
É!	Hey!
importar	to import/ to have meaning
ínfelici	unhappy
levar se	to stand up/ to get up
nominar	to name
portar	to carry/wear
revar	to dream
*** Deciottesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/19/)
apu	beside/ next to
baston	stick/staff/baton/rod
beson	need
besonar	to need
buxe	box/bin
carre	cart
colere	anger
cri	cry/shout/scream
criar	to cry/shout/scream
desfacil	difficult
filie	child (son/daughter)
gente	people
