deconsentit|dissented
tormentat|distressed
misfidet|distrusted
divinat|divined
divorciat|divorced
divulgat|divulged
inbassinat|docked
curat|doctored
evitat|dodged
distribuet|doled
mettet|donned
condamnat|doomed
dosat|dosed
dubitat|doubted
dormiettat|dozed
conscrit|drafted
draggat|dragged
drenat|drained
drapat|draped
horret|dreaded
somniat|dreamed
somniat|dreamt
apretat|dressed
drivat|drifted
dresset|drilled
trincat|drank
pluviettat|drizzled
bavat|drooled
intoxicat|drugged
tamburat|drummed
assiccat|dried
merset|ducked
duellat|duelled
blasat|dulled
basculat|dumped
bluffat|duped
duplicat|duplicated
depolvat|dusted
pigmentat|dyed
aleviat|eased
subescutat|eavesdropped
ecoat|echoed
virlat|eddied
acutat|edged
efectet|effected
electet|elected
electro-argentat|electroplated
evacuat|emptied
esmaltat|enamelled
incontrat|encountered
finit|ended
causat|engineered
implicat|entailed
extasiat|entranced
invidiat|envied
erectet|erected
escapat|escaped
acompaniat|escorted
essayat|essayed
exiget|exacted
exceptet|excepted
excerptet|excerpted
exchangeat|exchanged
exciset|excised
excusat|excused
exemptet|exempted
exercit|exercised
exiliat|exiled
experit|experienced
experimentat|experimented
explotat|exploited
exportat|exported
expresset|expressed
extractet|extracted
guatat|eyed
frontat|faced
evanescet|fainted
falsificat|faked
cadet|fell
imaginat|fancied
standat|fared
cultivat|farmed
fassonat|fashioned
caremat|fasted
genitet|fathered
comprendet|fathomed
favorat|favoured
timet|feared
festinat|feasted
abattet|felled
escrimat|fenced
fermentat|fermented
supurat|festered
festonat|festooned
festat|feted
boxat|fought
calculat|figured
classificat|filed
obstructet|filibustered
plenat|filled
filtrat|filtered
palpat|fingered
calentat|fired
piscat|fished
acomodat|fit
acomodat|fitted
debilijat|flagged
exfoliat|flaked
flammat|flamed
flancat|flanked
battet|flapped
flagrat|flared
eclatat|flashed
spiceat|flavoured
fraudat|fleeced
amorettat|flirted
flottat|floated
inundat|flooded
chancelat|floundered
brandisset|flourished
fluet|flowed
florat|flowered
rinsat|flushed
palpitat|fluttered
aviat|flew
scumat|foamed
frustrat|foiled
incorralat|folded
caressat|fondled
deceptet|fooled
pedeat|footed
fortiat|forced
vadat|forded
perdit|forfeited
bifurcat|forked
accelerat|forwarded
cuidat|fostered
sordidat|fouled
etablisset|founded
afundat|foundered
fractet|fractured
format|framed
forfrictet|frayed
liberat|freed
frequentat|frequented
capreolat|frisked
capreolat|frolicked
efervescet|frothed
fructificat|fruited
confuset|fuddled
fulminat|fulminated
functionat|functioned
sulcat|furrowed
accelerat|furthered
fondet|fused
atinget|gained
iritat|galled
galoppat|gallopped
jardinat|gardened
recoltat|garnered
garnit|garnished
anhelat|gasped
mesurat|gauged
spectat|gazed
cedet|gave
regardat|glanced
glaset|glazed
brilliat|gleamed
exultat|gloried
catisset|glossed
ardet|glowed
collat|glued
saturat|glutted
eat|went
picat|goaded
corn-picat|gored
babillat|gossiped
exciselat|gouged
favorat|graced
assortit|graded
greftat|grafted
concedet|granted
acrocat|grappled
iritat|grated
grillat|grilled
grimassat|grimaced
araffat|gripped
cuidat|groomed
palpat|groped
strandat|grounded
gruppat|grouped
plendit|groused
grunit|growled
murmurat|grumbled
grunit|grunted
garantit|guaranteed
gardat|guarded
adivinat|guessed
ductet|guided
glotit|gulped
exfluet|gushed
eviscerat|gutted
haccat|hacked
aclamat|hailed
haltat|halted
martellat|hammered
impedit|hampered
manuat|handed
manipulat|handled
genat|harassed
escutat|harked
damageat|harmed
harnessat|harnessed
harpunat|harpooned
hersat|harrowed
recoltat|harvested
bosillat|hashed
odiat|hated
colportat|hawked
hasardat|hazarded
cap-pussat|headed
acumulat|heaped
audit|heard
calentat|heated
interpellat|heckled
contra-pariat|hedged
talonat|heeled
assistet|helped
cernat|hemmed
anunciat|heralded
gardat|herded
hicat|hiccuped
celat|hid
impedit|hindered
aludet|hinted
acrocat|hitched
acumulat|hoarded
deceptet|hoaxed
claudicat|hobbled
afirmat|held
cavat|hollowed
slifat|honed
honorat|honoured
ululat|hooted
salteat|hopped
esperat|hoped
chassat|hounded
albergat|housed
criachat|howled
ofendet|huffed
caressat|hugged
burdonat|hummed
abjectet|humbled
bossat|hunched
economisat|husbanded
quietat|hushed
afrigidat|iced
debilisat|impaired
executet|implemented
importat|imported
deceptet|imposed
exasperat|incensed
ciset|incised
incorporat|incorporated
influentiat|influenced
inicialat|initialled
damageat|injured
iniciat|instituted
injuriat|insulted
inhumat|interred
interactet|interacted
interchangeat|interchanged
interessat|interested
internat|interned
eclarat|interpreted
interviewat|interviewed
informat|intimated
intrigat|intrigued
anullat|invalided
anullat|invalidated
inventariat|inventoried
facturat|invoiced
distribuet|issued
pruritat|itched
carcareat|jabbered
presset|jammed
cracat|jarred
sucusset|jerked
burlat|jested
pavet|jibbed
amemorat|jogged
jocat|joked
chocat|jolted
cud-pussat|jostled
notat|jotted
viageat|journeyed
torneyat|jousted
judicat|judged
jonglat|juggled
desordinat|jumbled
saltat|jumped
conosset|kenned
pussat|kicked
besat|kissed
nodat|knotted
laborat|labored
laceat|laced
indiget|lacked
laccat|lacquered
lentardeat|lagged
mutilat|lamed
deplorat|lamented
pasquinat|lampooned
inciset|lanced
abordat|landed
clapotat|lapped
expirat|lapsed
lardat|larded
amarrat|lashed
durat|lasted
clincat|latched
insaponat|lathered
laudat|lauded
deridet|laughed
prodigat|lavished
exorcisat|laid
causat|led
liccat|leaked
apoyat|leaned
apoyat|leant
saltat|leapt
saltat|leaped
arendat|leased
abandonat|left
fermentat|leavened
legislatet|legislated
aplatat|levelled
leverat|levered
calumniat|libelled
autorisat|licensed
leccat|licked
jacet|lay
jacet|lied
levat|lifted
accenDet|lighted
accenDet|lit
amat|liked
límitat|limited
claudicat|limped
foderat|lined
ligat|linked
chuchotat|lisped
inlistat|listed
habitat|lived
cargat|loaded
flanat|loafed
clave-cludet|locked
albergat|lodged
sospirat|longed
regardat|looked
laceat|looped
decatenat|loosed
marodat|looted
tirannisat|lorded
flanat|lounged
amat|loved
muit|lowed
abassat|lowered
calmat|lulled
amassat|lumped
lunchat|lunched
chancelat|lurched
lurat|lured
inpostat|mailed
creat|made
calumniat|maligned
equipat|manned
manglat|mangled
manifestat|manifested
covrit|mantled
stercat|manured
marchat|marched
marcat|marked
vendit|marketed
abandonat|marooned
arangeat|marshalled
martirisat|martyred
mixtet|mashed
camuflat|masked
amassat|massed
massacrat|massacred
massat|massaged
dominat|mastered
acordat|matched
acuplat|mated
maturat|matured
intentet|meant
mesurat|measured
assemblat|met
menaciat|menaced
mentionat|mentioned
meritet|merited
ingageat|meshed
bosillat|messed
faucat|mewed
lactat|milked
molinat|milled
mimat|mimed
imitat|mimicked
afectat|minced
cuidat|minded
minat|mined
contribuet|ministered
turbulat|mobbed
fassonat|modelled
moderat|moderated
amarrat|moored
proposit|mooted
moppat|mopped
hipotecat|mortgaged
ascendet|mounted
atendrit|moved
confuset|muddled
assassinat|murdered
murmurat|murmured
meditat|mused
assemblat|mustered
insurectet|mutinied
criticachat|nagged
clovat|nailed
nominat|named
desaprobat|negatived
negliget|neglected
nestat|nested
inretat|netted
iritat|nettled
mordettat|nibbled
inciset|nicked
dansat|nodded
inciset|notched
notat|noted
numerat|numbered
alactat|nursed
educat|nurtured
objectet|objected
obscurat|obscured
ocasionat|occasioned
dedicat|offered
compensat|offset
oleat|oiled
exflutat|oozed
apertet|opened
comandat|ordered
orientat|oriented
ornamentat|ornamented
proscrit|outlawed
esquissat|outlined
subverTet|overthrew
aconosset|owned
passuat|paced
inballat|packed
stuffat|padded
barbotat|paddled
paginat|paged
aflictet|pained
colorat|painted
acuplat|paired
tedat|palled
inpalmat|palmed
panelat|panelled
tapetat|papered
paradat|paraded
paralelat|paralleled
parafrasat|paraphrased
partit|parcelled
pardonat|pardoned
parcat|parked
conferet|parleyed
parodiat|parodied
dividet|parted
aprobat|passed
collat|pasted
pastet|pastured
lappat|patched
brevetat|patented
babillat|pattered
pausat|paused
grattat|pawed
gagat|pawned
clocheat|pealed
beccat|pecked
pedalat|pedalled
decorticat|peeled
pipiat|peeped
gapat|peered
palissettat|pegged
bombardat|pelted
inhagat|penned
pensionat|pensioned
populat|peopled
piprat|peppered
alt-sedet|perched
perfectet|perfected
permisset|permitted
pervertet|perverted
caressat|petted
petit|petitioned
becat|picked
marinat|pickled
descrit|pictured
lappat|pieced
pilliat|pillaged
piloriat|pilloried
pilotat|piloted
pinglat|pinned
furtet|pinched
languit|pined
pipiat|pipped
sifflat|piped
rancorat|piqued
plagiat|pirated
piruettat|pirouetted
marcat|pitted
acordat|pitched
comiserat|pitied
pivotat|pivoted
colocat|placed
tormentat|plagued
plectet|plaited
planat|planned
rabotat|planed
plantat|planted
stuccat|plastered
aurat|plated
ludet|played
gagat|pledged
complotat|plotted
plugat|ploughed
plugat|plowed
coliet|plucked
sondat|plumbed
marodat|plundered
plongeat|plunged
exercit|plied
intascat|pocketed
equilibrat|poised
venenat|poisoned
polit|polished
votat|polled
deridet|pooh-poohed
partit|portioned
embarassat|posed
afichat|posted
postulat|postulated
inpottat|potted
sursaltat|pounced
aplastat|pounded
diluviat|poured
budat|pouted
pudrat|powdered
executet|practised
laudat|praised
afirmat|predicated
prefaciat|prefaced
prefixat|prefixed
detrimentat|prejudiced
ocupat|preoccupied
donat|presented
confitet|preserved
presset|pressed
picat|pricked
picat|prickled
cebat|primed
printat|printed
privilegiiat|privileged
apreciat|prized
explorat|probed
avansat|proceeded
blasfemat|profaned
lucrat|profited
progresset|progressed
projectet|projected
promesset|promised
instigat|prompted
apoyat|propped
explorat|prospected
prostituet|prostituted
protestat|protested
provisionat|provisioned
decupat|pruned
frunsat|puckered
anhelat|puffed
lacerat|pulled
pumpat|pumped
calemburat|punned
battet|punched
forat|punctured
comprat|purchased
laceat|purled
pretendet|purported
rugat|pursed
pussat|pushed
embarassat|puzzled
coacat|quacked
quadriplicat|quadrupled
chancelat|quailed
quarantenat|quarantined
querellat|quarrelled
excavat|quarried
logiat|quartered
tremet|quavered
contestat|queried
interrogat|questioned
chicanat|quibbled
calmat|quieted
abandonat|quit
tremet|quivered
curret|raced
torturat|racked
furet|raged
invadet|raided
insultat|railed
pluviat|rained
radet|raked
reunit|rallied
compresset|rammed
migrat|rambled
furet|rampaged
arangeat|ranged
ransonat|ransomed
frappat|rapped
raptet|raped
evaluat|rated
portionat|rationed
cliquettat|rattled
inballat|ravelled
atinget|reached
cultivat|reared
rasonat|reasoned
insurectet|rebelled
rebattet|rebuffed
reprimandat|rebuked
